"State","Year","Price","Region"
"Maine","2016",12432.5353334333,"Other"
"Maine","2017",13484.5117326333,"Other"
"Maine","2018",14822.5605541667,"Other"
"Maine","2019",14652.5434940333,"Other"
"Maine","2020",14584.8327994,"Other"
"Maine","2021",16420.7395041333,"Other"
"Maine","2022",22771.295048,"Other"
"Michigan","2015",8983.11306921333,"Other"
"Michigan","2016",9317.89749194667,"Other"
"Michigan","2017",10149.6723036867,"Other"
"Michigan","2018",11085.0660025333,"Other"
"Michigan","2019",11101.6225804533,"Other"
"Michigan","2020",11080.2926419067,"Other"
"Michigan","2021",12211.8243844667,"Other"
"Michigan","2022",16124.2085374867,"Other"
"Minnesota","2015",11651.6762351667,"Other"
"Minnesota","2016",12337.8967869333,"Other"
"Minnesota","2017",13442.3362832833,"Other"
"Minnesota","2018",14640.0384209333,"Other"
"Minnesota","2019",14550.6308799833,"Other"
"Minnesota","2020",14247.92150815,"Other"
"Minnesota","2021",15238.44748705,"Other"
"Minnesota","2022",20250.132571,"Other"
"Missouri","2015",9239.624637575,"Other"
"Missouri","2016",9512.7475727375,"Other"
"Missouri","2017",10200.9301588625,"Other"
"Missouri","2018",11148.8124842625,"Other"
"Missouri","2019",11061.5090451125,"Other"
"Missouri","2020",10947.2244851125,"Other"
"Missouri","2021",11902.2612219,"Other"
"Missouri","2022",16168.700434025,"Other"
"Mississippi","2015",8655.9647937,"Other"
"Mississippi","2016",8985.48984696667,"Other"
"Mississippi","2017",9363.76505243333,"Other"
"Mississippi","2018",10103.904626,"Other"
"Mississippi","2019",9955.0613006,"Other"
"Mississippi","2020",9702.06668423333,"Other"
"Mississippi","2021",10345.7297287333,"Other"
"Mississippi","2022",13833.6461015333,"Other"
"Montana","2015",14957.77970352,"Other"
"Montana","2016",15790.6841888,"Other"
"Montana","2017",16889.53979916,"Other"
"Montana","2018",18717.6999862,"Other"
"Montana","2019",18544.2350686,"Other"
"Montana","2020",18238.3403518,"Other"
"Montana","2021",21322.0300614,"Other"
"Montana","2022",30590.4224022,"Other"
