"State","Year","Price","Region"
"Kansas","2018",9454.9895249,"Other"
"Kansas","2019",9686.96085622,"Other"
"Kansas","2020",10010.9622978,"Other"
"Kansas","2021",10543.46867294,"Other"
"Kansas","2022",11493.779227705,"Other"
"Kentucky","2015",10098.18823465,"Other"
"Kentucky","2016",10495.7205944,"Other"
"Kentucky","2017",10773.9587405167,"Other"
"Kentucky","2018",10245.6461105333,"Other"
"Kentucky","2019",10247.28272618,"Other"
"Kentucky","2020",10569.59695162,"Other"
"Kentucky","2021",11410.23948028,"Other"
"Kentucky","2022",12856.1429987167,"Other"
"Louisiana","2015",12729.6464803,"Other"
"Louisiana","2016",12441.7465565683,"Other"
"Louisiana","2017",12541.91237006,"Other"
"Louisiana","2018",12675.9130443,"Other"
"Louisiana","2019",12746.99147892,"Other"
