"State","Price","Year","Region"
"Maryland",39953,2016,"South"
"Maryland",40417,2017,"South"
"Maryland",41102,2018,"South"
"Maryland",41692,2019,"South"
"Maryland",39293,2020,"South"
"Maryland",42167,2021,"South"
"Maryland",43510,2022,"South"
"Massachusetts",46728,2015,"Northeast"
"Massachusetts",46133,2016,"Northeast"
"Massachusetts",47535,2017,"Northeast"
"Massachusetts",48292,2018,"Northeast"
"Massachusetts",49132,2019,"Northeast"
"Massachusetts",46224,2020,"Northeast"
"Massachusetts",51218,2021,"Northeast"
"Massachusetts",51146,2022,"Northeast"
"Michigan",40304,2015,"Midwest"
"Michigan",41381,2016,"Midwest"
"Michigan",42555,2017,"Midwest"
"Michigan",42526,2018,"Midwest"
"Michigan",42645,2019,"Midwest"
"Michigan",41694,2020,"Midwest"
"Michigan",45017,2021,"Midwest"
"Michigan",45845,2022,"Midwest"
"Minnesota",43135,2015,"Midwest"
"Minnesota",43952,2016,"Midwest"
"Minnesota",44974,2017,"Midwest"
"Minnesota",44509,2018,"Midwest"
"Minnesota",44935,2019,"Midwest"
"Minnesota",42707,2020,"Midwest"
"Minnesota",45690,2021,"Midwest"
"Minnesota",47301,2022,"Midwest"
"Mississippi",34348,2015,"South"
"Mississippi",34726,2016,"South"
"Mississippi",35249,2017,"South"
"Mississippi",36127,2018,"South"
"Mississippi",36184,2019,"South"
"Mississippi",36640,2020,"South"
"Mississippi",39186,2021,"South"
"Mississippi",39613,2022,"South"
"Missouri",40584,2015,"Midwest"
"Missouri",41419,2016,"Midwest"
"Missouri",41951,2017,"Midwest"
"Missouri",42641,2018,"Midwest"
"Missouri",42578,2019,"Midwest"
"Missouri",41804,2020,"Midwest"
"Missouri",44892,2021,"Midwest"
"Missouri",46403,2022,"Midwest"
"Montana",41124,2015,"West"
"Montana",41579,2016,"West"
"Montana",42106,2017,"West"
"Montana",44104,2018,"West"
"Montana",43682,2019,"West"
"Montana",43840,2020,"West"
"Montana",48458,2021,"West"
"Montana",50213,2022,"West"
