"State","Year","Price_per_kwh","Price","Region"
"Michigan","2019",15.84,1684.1088,"Midwest"
"Michigan","2020",16.37,1740.4584,"Midwest"
"Michigan","2021",17.55,1865.916,"Midwest"
"Michigan","2022",17.75,1887.18,"Midwest"
"Ohio","2015",12.63,1342.8216,"Midwest"
"Ohio","2016",12.3,1307.736,"Midwest"
"Ohio","2017",12.4,1318.368,"Midwest"
"Ohio","2018",12.38,1316.2416,"Midwest"
"Ohio","2019",12.24,1301.3568,"Midwest"
"Ohio","2020",12.1,1286.472,"Midwest"
"Ohio","2021",12.78,1358.7696,"Midwest"
"Ohio","2022",13.94,1482.1008,"Midwest"
"Wisconsin","2015",14.46,1537.3872,"Midwest"
"Wisconsin","2016",14.46,1537.3872,"Midwest"
"Wisconsin","2017",14.75,1568.22,"Midwest"
"Wisconsin","2018",14.5,1541.64,"Midwest"
"Wisconsin","2019",14.69,1561.8408,"Midwest"
"Wisconsin","2020",14.8,1573.536,"Midwest"
"Wisconsin","2021",14.58,1550.1456,"Midwest"
"Wisconsin","2022",15.63,1661.7816,"Midwest"
"Iowa","2015",12.05,1281.156,"Midwest"
"Iowa","2016",12.47,1325.8104,"Midwest"
"Iowa","2017",12.78,1358.7696,"Midwest"
"Iowa","2018",12.89,1370.4648,"Midwest"
"Iowa","2019",13.12,1394.9184,"Midwest"
"Iowa","2020",13.19,1402.3608,"Midwest"
"Iowa","2021",12.91,1372.5912,"Midwest"
"Iowa","2022",13.35,1419.372,"Midwest"
"Kansas","2015",12.28,1305.6096,"Midwest"
"Kansas","2016",13.01,1383.2232,"Midwest"
"Kansas","2017",13.32,1416.1824,"Midwest"
"Kansas","2018",13.25,1408.74,"Midwest"
"Kansas","2019",12.72,1352.3904,"Midwest"
"Kansas","2020",12.77,1357.7064,"Midwest"
"Kansas","2021",12.92,1373.6544,"Midwest"
"Kansas","2022",14.17,1506.5544,"Midwest"
"Minnesota","2015",12.39,1317.3048,"Midwest"
"Minnesota","2016",12.79,1359.8328,"Midwest"
"Minnesota","2017",13.28,1411.9296,"Midwest"
"Minnesota","2018",13.46,1431.0672,"Midwest"
"Minnesota","2019",13.43,1427.8776,"Midwest"
"Minnesota","2020",13.51,1436.3832,"Midwest"
"Minnesota","2021",13.48,1433.1936,"Midwest"
"Minnesota","2022",14.26,1516.1232,"Midwest"
"Missouri","2015",11.06,1175.8992,"Midwest"
"Missouri","2016",11.05,1174.836,"Midwest"
"Missouri","2017",11.5,1222.68,"Midwest"
"Missouri","2018",11.35,1206.732,"Midwest"
"Missouri","2019",11.05,1174.836,"Midwest"
"Missouri","2020",11.18,1188.6576,"Midwest"
"Missouri","2021",11.61,1234.3752,"Midwest"
"Missouri","2022",12.47,1325.8104,"Midwest"
"Nebraska","2015",10.96,1165.2672,"Midwest"
"Nebraska","2016",11.02,1171.6464,"Midwest"
"Nebraska","2017",11.11,1181.2152,"Midwest"
"Nebraska","2018",10.93,1162.0776,"Midwest"
"Nebraska","2019",10.97,1166.3304,"Midwest"
"Nebraska","2020",11.1,1180.152,"Midwest"
"Nebraska","2021",10.91,1159.9512,"Midwest"
"Nebraska","2022",11.08,1178.0256,"Midwest"
"North Dakota","2015",9.91,1053.6312,"Midwest"
"North Dakota","2016",10.39,1104.6648,"Midwest"
"North Dakota","2017",10.63,1130.1816,"Midwest"
"North Dakota","2018",10.51,1117.4232,"Midwest"
"North Dakota","2019",10.6,1126.992,"Midwest"
"North Dakota","2020",10.64,1131.2448,"Midwest"
"North Dakota","2021",11.04,1173.7728,"Midwest"
"North Dakota","2022",11.13,1183.3416,"Midwest"
"South Dakota","2015",11.02,1171.6464,"Midwest"
"South Dakota","2016",11.5,1222.68,"Midwest"
"South Dakota","2017",11.75,1249.26,"Midwest"
"South Dakota","2018",11.72,1246.0704,"Midwest"
"South Dakota","2019",11.68,1241.8176,"Midwest"
"South Dakota","2020",11.84,1258.8288,"Midwest"
"South Dakota","2021",12.36,1314.1152,"Midwest"
"South Dakota","2022",12.29,1306.6728,"Midwest"
"Delaware","2015",13.38,1422.5616,"South"
"Delaware","2016",13.49,1434.2568,"South"
"Delaware","2017",13.46,1431.0672,"South"
"Delaware","2018",12.62,1341.7584,"South"
"Delaware","2019",12.67,1347.0744,"South"
"Delaware","2020",12.65,1344.948,"South"
"Delaware","2021",12.46,1324.7472,"South"
"Delaware","2022",13.43,1427.8776,"South"
"District of Columbia","2015",12.81,1361.9592,"Other"
"District of Columbia","2016",12.85,1366.212,"Other"
"District of Columbia","2017",12.81,1361.9592,"Other"
"District of Columbia","2018",12.73,1353.4536,"Other"
"District of Columbia","2019",12.97,1378.9704,"Other"
"District of Columbia","2020",12.54,1333.2528,"Other"
"District of Columbia","2021",13.03,1385.3496,"Other"
"District of Columbia","2022",13.93,1481.0376,"Other"
"Florida","2015",11.78,1252.4496,"South"
"Florida","2016",11.24,1195.0368,"South"
"Florida","2017",11.83,1257.7656,"South"
"Florida","2018",11.54,1226.9328,"South"
"Florida","2019",11.93,1268.3976,"South"
"Florida","2020",11.51,1223.7432,"South"
"Florida","2021",11.95,1270.524,"South"
"Florida","2022",13.9,1477.848,"South"
"Georgia","2015",11.65,1238.628,"South"
"Georgia","2016",11.58,1231.1856,"South"
"Georgia","2017",11.98,1273.7136,"South"
"Georgia","2018",11.64,1237.5648,"South"
"Georgia","2019",11.69,1242.8808,"South"
"Georgia","2020",12,1275.84,"South"
"Georgia","2021",12.67,1347.0744,"South"
"Georgia","2022",14.28,1518.2496,"South"
"Maryland","2015",13.75,1461.9,"South"
"Maryland","2016",14.24,1513.9968,"South"
"Maryland","2017",14.14,1503.3648,"South"
"Maryland","2018",13.35,1419.372,"South"
"Maryland","2019",13.18,1401.2976,"South"
"Maryland","2020",13.03,1385.3496,"South"
"Maryland","2021",13,1382.16,"South"
"Maryland","2022",14.3,1520.376,"South"
"North Carolina","2015",11.34,1205.6688,"South"
"North Carolina","2016",11.23,1193.9736,"South"
"North Carolina","2017",11.21,1191.8472,"South"
"North Carolina","2018",11.32,1203.5424,"South"
"North Carolina","2019",11.63,1236.5016,"South"
"North Carolina","2020",11.59,1232.2488,"South"
"North Carolina","2021",11.51,1223.7432,"South"
"North Carolina","2022",12.09,1285.4088,"South"
"South Carolina","2015",12.44,1322.6208,"South"
"South Carolina","2016",12.48,1326.8736,"South"
"South Carolina","2017",12.85,1366.212,"South"
"South Carolina","2018",12.46,1324.7472,"South"
"South Carolina","2019",12.66,1346.0112,"South"
"South Carolina","2020",12.63,1342.8216,"South"
"South Carolina","2021",13.12,1394.9184,"South"
"South Carolina","2022",14.08,1496.9856,"South"
"Virginia","2015",11.39,1210.9848,"South"
"Virginia","2016",11.5,1222.68,"South"
"Virginia","2017",11.75,1249.26,"South"
"Virginia","2018",11.88,1263.0816,"South"
"Virginia","2019",12.04,1280.0928,"South"
"Virginia","2020",12.25,1302.42,"South"
"Virginia","2021",12.19,1296.0408,"South"
"Virginia","2022",13.39,1423.6248,"South"
"West Virginia","2015",10,1063.2,"South"
"West Virginia","2016",11.18,1188.6576,"South"
"West Virginia","2017",11.67,1240.7544,"South"
"West Virginia","2018",11.37,1208.8584,"South"
"West Virginia","2019",11.17,1187.5944,"South"
"West Virginia","2020",11.8,1254.576,"South"
"West Virginia","2021",12.13,1289.6616,"South"
"West Virginia","2022",13.26,1409.8032,"South"
"Alabama","2015",11.84,1258.8288,"South"
"Alabama","2016",12.02,1277.9664,"South"
"Alabama","2017",12.7,1350.264,"South"
"Alabama","2018",12.33,1310.9256,"South"
"Alabama","2019",12.75,1355.58,"South"
"Alabama","2020",12.77,1357.7064,"South"
"Alabama","2021",13.34,1418.3088,"South"
"Alabama","2022",14.47,1538.4504,"South"
"Kentucky","2015",10.03,1066.3896,"South"
"Kentucky","2016",10.23,1087.6536,"South"
"Kentucky","2017",10.64,1131.2448,"South"
"Kentucky","2018",10.44,1109.9808,"South"
"Kentucky","2019",10.64,1131.2448,"South"
"Kentucky","2020",10.83,1151.4456,"South"
"Kentucky","2021",11.36,1207.7952,"South"
"Kentucky","2022",12.76,1356.6432,"South"
"Mississippi","2015",11.3,1201.416,"South"
"Mississippi","2016",10.5,1116.36,"South"
"Mississippi","2017",11.2,1190.784,"South"
"Mississippi","2018",11.24,1195.0368,"South"
"Mississippi","2019",11.32,1203.5424,"South"
"Mississippi","2020",11.21,1191.8472,"South"
"Mississippi","2021",11.66,1239.6912,"South"
"Mississippi","2022",12.6,1339.632,"South"
"Tennessee","2015",10.23,1087.6536,"South"
"Tennessee","2016",10.26,1090.8432,"South"
"Tennessee","2017",10.64,1131.2448,"South"
"Tennessee","2018",10.63,1130.1816,"South"
"Tennessee","2019",10.8,1148.256,"South"
"Tennessee","2020",10.78,1146.1296,"South"
"Tennessee","2021",11.06,1175.8992,"South"
"Tennessee","2022",12.34,1311.9888,"South"
"Arkansas","2015",9.85,1047.252,"South"
"Arkansas","2016",9.93,1055.7576,"South"
"Arkansas","2017",10.26,1090.8432,"South"
"Arkansas","2018",9.87,1049.3784,"South"
"Arkansas","2019",9.87,1049.3784,"South"
"Arkansas","2020",10.45,1111.044,"South"
"Arkansas","2021",11.34,1205.6688,"South"
"Arkansas","2022",11.9,1265.208,"South"
"Louisiana","2015",9.27,985.5864,"South"
"Louisiana","2016",9.1,967.512,"South"
"Louisiana","2017",9.58,1018.5456,"South"
"Louisiana","2018",9.36,995.1552,"South"
"Louisiana","2019",9.57,1017.4824,"South"
"Louisiana","2020",9.46,1005.7872,"South"
"Louisiana","2021",10.95,1164.204,"South"
"Louisiana","2022",12.66,1346.0112,"South"
"Oklahoma","2015",10.08,1071.7056,"South"
"Oklahoma","2016",10.19,1083.4008,"South"
"Oklahoma","2017",10.56,1122.7392,"South"
"Oklahoma","2018",10.37,1102.5384,"South"
"Oklahoma","2019",10.25,1089.78,"South"
"Oklahoma","2020",10.08,1071.7056,"South"
"Oklahoma","2021",12.44,1322.6208,"South"
"Oklahoma","2022",12.72,1352.3904,"South"
"Texas","2015",11.68,1241.8176,"South"
"Texas","2016",11.03,1172.7096,"South"
"Texas","2017",11.17,1187.5944,"South"
"Texas","2018",11.38,1209.9216,"South"
"Texas","2019",11.82,1256.7024,"South"
"Texas","2020",11.93,1268.3976,"South"
"Texas","2021",11.99,1274.7768,"South"
"Texas","2022",13.36,1420.4352,"South"
"Arizona","2015",12.36,1314.1152,"West"
"Arizona","2016",12.32,1309.8624,"West"
"Arizona","2017",12.53,1332.1896,"West"
"Arizona","2018",12.89,1370.4648,"West"
"Arizona","2019",12.64,1343.8848,"West"
"Arizona","2020",12.46,1324.7472,"West"
"Arizona","2021",12.56,1335.3792,"West"
"Arizona","2022",13.05,1387.476,"West"
"Colorado","2015",12.08,1284.3456,"West"
"Colorado","2016",12.03,1279.0296,"West"
"Colorado","2017",12.18,1294.9776,"West"
"Colorado","2018",12.16,1292.8512,"West"
"Colorado","2019",12.36,1314.1152,"West"
"Colorado","2020",12.47,1325.8104,"West"
"Colorado","2021",13.04,1386.4128,"West"
"Colorado","2022",14.27,1517.1864,"West"
"Idaho","2015",10.1,1073.832,"West"
"Idaho","2016",10.08,1071.7056,"West"
"Idaho","2017",10.12,1075.9584,"West"
"Idaho","2018",10.32,1097.2224,"West"
"Idaho","2019",9.97,1060.0104,"West"
"Idaho","2020",10.04,1067.4528,"West"
"Idaho","2021",10.16,1080.2112,"West"
"Idaho","2022",10.45,1111.044,"West"
"Montana","2015",11.04,1173.7728,"West"
"Montana","2016",11.1,1180.152,"West"
"Montana","2017",11.13,1183.3416,"West"
"Montana","2018",11.22,1192.9104,"West"
"Montana","2019",11.39,1210.9848,"West"
"Montana","2020",11.59,1232.2488,"West"
"Montana","2021",11.25,1196.1,"West"
"Montana","2022",11.22,1192.9104,"West"
"Nevada","2015",12.8,1360.896,"West"
"Nevada","2016",11.41,1213.1112,"West"
"Nevada","2017",11.92,1267.3344,"West"
"Nevada","2018",11.86,1260.9552,"West"
"Nevada","2019",12.02,1277.9664,"West"
"Nevada","2020",10.78,1146.1296,"West"
"Nevada","2021",11.38,1209.9216,"West"
"Nevada","2022",13.61,1447.0152,"West"
"New Mexico","2015",12.74,1354.5168,"West"
"New Mexico","2016",12.08,1284.3456,"West"
"New Mexico","2017",13.01,1383.2232,"West"
"New Mexico","2018",12.87,1368.3384,"West"
"New Mexico","2019",12.73,1353.4536,"West"
"New Mexico","2020",13.18,1401.2976,"West"
"New Mexico","2021",13.67,1453.3944,"West"
"New Mexico","2022",14.17,1506.5544,"West"
"Utah","2015",11.05,1174.836,"West"
"Utah","2016",11.15,1185.468,"West"
"Utah","2017",11.15,1185.468,"West"
"Utah","2018",10.65,1132.308,"West"
"Utah","2019",10.61,1128.0552,"West"
"Utah","2020",10.67,1134.4344,"West"
"Utah","2021",10.55,1121.676,"West"
"Utah","2022",11,1169.52,"West"
"Wyoming","2015",11.02,1171.6464,"West"
"Wyoming","2016",11.23,1193.9736,"West"
"Wyoming","2017",11.47,1219.4904,"West"
"Wyoming","2018",11.46,1218.4272,"West"
"Wyoming","2019",11.31,1202.4792,"West"
"Wyoming","2020",11.26,1197.1632,"West"
"Wyoming","2021",11.3,1201.416,"West"
"Wyoming","2022",11.21,1191.8472,"West"
"California","2015",16.96,1803.1872,"West"
"California","2016",17.29,1838.2728,"West"
"California","2017",18.17,1931.8344,"West"
"California","2018",18.88,2007.3216,"West"
"California","2019",19.15,2036.028,"West"
"California","2020",20.39,2167.8648,"West"
"California","2021",22.74,2417.7168,"West"
"California","2022",26.38,2804.7216,"West"
"Oregon","2015",10.69,1136.5608,"West"
"Oregon","2016",10.62,1129.1184,"West"
"Oregon","2017",10.73,1140.8136,"West"
"Oregon","2018",10.95,1164.204,"West"
"Oregon","2019",11,1169.52,"West"
"Oregon","2020",11.13,1183.3416,"West"
"Oregon","2021",11.35,1206.732,"West"
"Oregon","2022",11.38,1209.9216,"West"
"Washington","2015",8.93,949.4376,"West"
"Washington","2016",9.39,998.3448,"West"
"Washington","2017",9.59,1019.6088,"West"
"Washington","2018",9.68,1029.1776,"West"
"Washington","2019",9.64,1024.9248,"West"
"Washington","2020",9.74,1035.5568,"West"
"Washington","2021",10.09,1072.7688,"West"
"Washington","2022",10.25,1089.78,"West"
