"Year","State","Price_per_1000ft3","Price","Region"
2018,"Wisconsin",8.04,482.4,"Midwest"
2018,"Wyoming",8.6,516,"West"
2019,"Alabama",15.63,937.8,"South"
2019,"Alaska",11.11,666.6,"West"
2019,"Arizona",13.46,807.6,"West"
2019,"Arkansas",11.05,663,"South"
2019,"California",12.95,777,"West"
2019,"Colorado",7.77,466.2,"West"
2019,"Connecticut",14.61,876.6,"Northeast"
2019,"Delaware",12.1,726,"South"
2019,"District.of.Columbia",12.81,768.6,"Other"
2019,"Florida",21.66,1299.6,"South"
2019,"Georgia",14.88,892.8,"South"
2019,"Hawaii",44.14,2648.4,"West"
2019,"Idaho",6.5,390,"West"
2019,"Illinois",8.04,482.4,"Midwest"
2019,"Indiana",8.68,520.8,"Midwest"
2019,"Iowa",8.19,491.4,"Midwest"
2019,"Kansas",9.24,554.4,"Midwest"
2019,"Kentucky",10.85,651,"South"
2019,"Louisiana",11.49,689.4,"South"
2019,"Maine",16.05,963,"Northeast"
2019,"Maryland",12.55,753,"South"
2019,"Massachusetts",14.72,883.2,"Northeast"
2019,"Michigan",8.08,484.8,"Midwest"
2019,"Minnesota",8.06,483.6,"Midwest"
2019,"Mississippi",10.58,634.8,"South"
2019,"Missouri",10.41,624.6,"Midwest"
2019,"Montana",7.09,425.4,"West"
2019,"Nebraska",7.9,474,"Midwest"
2019,"Nevada",9.5,570,"West"
2019,"New.Hampshire",15.75,945,"Other"
2019,"New.Jersey",9.73,583.8,"Other"
2019,"New.Mexico",6.4,384,"Other"
2019,"New.York",12.61,756.6,"Other"
2019,"North.Carolina",12.88,772.8,"Other"
2019,"North.Dakota",7,420,"Other"
2019,"Ohio",9.58,574.8,"Midwest"
2019,"Oklahoma",9.4,564,"South"
2019,"Oregon",9.97,598.2,"West"
2019,"Pennsylvania",11.7,702,"Northeast"
2019,"Rhode.Island",15.36,921.6,"Other"
2019,"South.Carolina",13.07,784.2,"Other"
2019,"South.Dakota",7.29,437.4,"Other"
2019,"Tennessee",9.46,567.6,"South"
2019,"Texas",10.61,636.6,"South"
2019,"Utah",7.82,469.2,"West"
2019,"Vermont",13.14,788.4,"Northeast"
2019,"Virginia",12.62,757.2,"South"
2019,"Washington",9.82,589.2,"West"
2019,"West.Virginia",9.9,594,"Other"
2019,"Wisconsin",7.68,460.8,"Midwest"
2019,"Wyoming",8.06,483.6,"West"
2020,"Alabama",16.01,960.6,"South"
2020,"Alaska",11.14,668.4,"West"
2020,"Arizona",13.1,786,"West"
2020,"Arkansas",12.28,736.8,"South"
2020,"California",14.14,848.4,"West"
2020,"Colorado",7.22,433.2,"West"
2020,"Connecticut",14.68,880.8,"Northeast"
2020,"Delaware",12.95,777,"South"
2020,"District.of.Columbia",11.92,715.2,"Other"
2020,"Florida",21.38,1282.8,"South"
2020,"Georgia",15.45,927,"South"
2020,"Hawaii",37.75,2265,"West"
2020,"Idaho",6.73,403.8,"West"
2020,"Illinois",7.94,476.4,"Midwest"
2020,"Indiana",8.59,515.4,"Midwest"
2020,"Iowa",7.78,466.8,"Midwest"
2020,"Kansas",9.37,562.2,"Midwest"
2020,"Kentucky",11.14,668.4,"South"
2020,"Louisiana",12.16,729.6,"South"
2020,"Maine",14.88,892.8,"Northeast"
2020,"Maryland",13.07,784.2,"South"
2020,"Massachusetts",14.71,882.6,"Northeast"
2020,"Michigan",8.25,495,"Midwest"
2020,"Minnesota",8.04,482.4,"Midwest"
2020,"Mississippi",11.51,690.6,"South"
2020,"Missouri",10.39,623.4,"Midwest"
2020,"Montana",7.22,433.2,"West"
2020,"Nebraska",8.04,482.4,"Midwest"
2020,"Nevada",10.36,621.6,"West"
2020,"New.Hampshire",14.66,879.6,"Other"
2020,"New.Jersey",9.92,595.2,"Other"
