"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Pennsylvania",2018,1485.2904,1103.41,675,3405.45,12828.5892778556,11190.2906853583,44275
"Pennsylvania",2019,1460.8368,1106.29,702,3510.70074626866,12448.4845091444,11803.8527012276,44911
"Pennsylvania",2020,1447.0152,1080.55,688.8,3719.56791044776,12413.9279460611,12388.0232006538,43247
"Pennsylvania",2021,1455.5208,1069.27,720.6,4038.42537313433,13733.2070995,13402.48143102,46842
"Pennsylvania",2022,1672.4136,1119.98,896.4,4480.02089552239,17967.7437129556,14569.4035292896,48514
"Illinois",2015,1326.8736,888.96,478.2,2978.4,9694.65016102727,10687.719615195,40702
"Illinois",2016,1300.2936,930.12,472.8,3033.15,9826.91895490909,10537.3607446905,41253
"Illinois",2017,1344.948,976.73,529.8,3066,10238.4363921545,10382.31217105,41638
"Illinois",2018,1330.0632,997.42,489,3175.5,10862.2806177,10282.6762357625,42616
"Illinois",2019,1363.0224,1018.5,482.4,3187.41617647059,10613.6202170091,10601.430723225,43445
"Illinois",2020,1366.212,997.18,476.4,3376.35735294118,10314.5098599455,10921.0947463375,41863
"Illinois",2021,1394.9184,1001.22,630.6,3814.14264705882,10843.8859165727,11648.6741239611,44938
"Illinois",2022,1671.3504,1080.14,828,4270.82205882353,13733.9939890636,12471.21151014,46706
"Indiana",2015,1186.5312,758.94,535.2,2857.95,8556.64537045,9382.76036509333,37758
"Indiana",2016,1202.4792,797.38,475.2,2868.9,7793.358267625,9652.69092115,38534
"Indiana",2017,1275.84,840.43,536.4,2868.9,8419.09385921667,9630.98544155298,39799
"Indiana",2018,1275.84,868.44,523.2,2934.6,9346.19003409167,9837.25463080278,39723
"Indiana",2019,1313.052,878.16,520.8,3110.63315217391,9435.053007475,10336.3547946778,39925
"Indiana",2020,1326.8736,863.29,515.4,3231.08315217391,9352.01235809167,10778.8172212111,39850
"Indiana",2021,1421.4984,858.33,603,3596.12282608696,10319.0289900083,11369.8259615673,42449
"Indiana",2022,1574.5992,905.61,696,4043.76358695652,14141.730165425,12473.1058487845,44252
"Michigan",2015,1533.1344,1392.93,528.6,3022.2,8983.11306921333,10587.39245185,40304
"Michigan",2016,1625.6328,1430.48,492.6,3076.95,9317.89749194667,10667.4331231405,41381
"Michigan",2017,1650.0864,1494.03,502.8,3055.05,10149.6723036867,11022.0908936714,42555
"Michigan",2018,1662.8448,1575.49,491.4,3109.8,11085.0660025333,11315.5892049482,42526
"Michigan",2019,1684.1088,1622.75,484.8,3400.70060240964,11101.6225804533,11716.247262525,42645
"Michigan",2020,1740.4584,1535.56,495,3572.86626506024,11080.2926419067,12230.528068,41694
"Michigan",2021,1865.916,1419.7,552.6,3902.68554216867,12211.8243844667,12885.6068260417,45017
"Michigan",2022,1887.18,1428.65,678.6,4323.13915662651,16124.2085374867,14347.0154505397,45845
"Ohio",2015,1342.8216,795.18,570.6,2978.4,7847.22118122143,9145.35343374464,39984
"Ohio",2016,1307.736,826.84,541.8,3022.2,8024.77919461429,9370.69697694107,40555
"Ohio",2017,1318.368,864.64,583.2,3022.2,8522.51767870714,9605.06589612222,41509
"Ohio",2018,1316.2416,888.16,546,3055.05,9308.81722936429,9858.88108843,41524
"Ohio",2019,1301.3568,890.41,574.8,3184.33465909091,9305.96604127143,10198.66825143,41853
"Ohio",2020,1286.472,866.17,571.8,3349.58011363636,9247.16956170714,10654.92046407,41335
"Ohio",2021,1358.7696,852.02,664.8,3783.97159090909,10138.2977256643,11501.38169656,44189
"Ohio",2022,1482.1008,909.45,784.2,4222.96704545455,13175.9034327857,12206.398498829,45283
"Wisconsin",2015,1537.3872,741.62,512.4,2967.45,11466.8683695917,12274.60868245,40342
"Wisconsin",2016,1537.3872,774.69,484.2,3055.05,11902.7952533583,12421.9278362833,41006
"Wisconsin",2017,1568.22,804.81,504,3033.15,12688.9538822917,11451.2601877,41749
"Wisconsin",2018,1541.64,830.19,482.4,3109.8,13892.274176,11699.3989913667,42170
"Wisconsin",2019,1561.8408,840.82,460.8,3384.31041666667,13959.5417623667,11767.28925605,42443
"Wisconsin",2020,1573.536,816.23,451.2,3534.41666666667,13875.1386504833,12295.72488845,41763
"Wisconsin",2021,1550.1456,823.92,584.4,3975.45833333333,14822.3656215333,12478.6228600329,44942
"Wisconsin",2022,1661.7816,876.14,680.4,4484.78541666667,19340.3107334167,12555.5313711445,46531
"Iowa",2015,1281.156,709.95,510.6,2923.65,10999.7314729714,10500.8403470333,39683
"Iowa",2016,1325.8104,741.32,487.8,2978.4,11164.3763507857,10679.676991675,40477
"Iowa",2017,1358.7696,795.1,558,2956.5,11918.8603531286,10865.200663525,41216
"Iowa",2018,1370.4648,816.11,536.4,3055.05,12830.8303044429,10949.71980366,40349
"Iowa",2019,1394.9184,823.53,491.4,3322.38484848485,12783.4603798143,11150.04045952,40655
"Iowa",2020,1402.3608,822.17,466.8,3486.63484848485,12405.9727609571,11378.7122041,40023
"Iowa",2021,1372.5912,841.51,612,3924.52424242424,12929.4173695714,11831.70961223,43330
"Iowa",2022,1419.372,902.21,782.4,4319.38787878788,16838.5682574286,12358.7116713738,44632
"Kansas",2015,1305.6096,867.6,610.2,3109.8,10254.214114375,9243.69979633333,38553
"Kansas",2016,1383.2232,882.92,591,3164.55,10192.195164025,9375.35310443333,39362
"Kansas",2017,1416.1824,947.54,657,3131.7,11044.2265225,9476.410736995,40092
"Kansas",2018,1408.74,986.75,610.8,3186.45,12083.332408575,9454.9895249,40217
"Kansas",2019,1352.3904,999.76,554.4,3374.79,11963.35594755,9686.96085622,40629
"Kansas",2020,1357.7064,966.92,562.2,3444.34857142857,11866.066550925,10010.9622978,39987
"Kansas",2021,1373.6544,990.35,666.6,3863.78571428571,12782.091972275,10543.46867294,42846
"Kansas",2022,1506.5544,1051.67,861.6,4327.33571428571,16869.790776,11493.779227705,44821
"Minnesota",2015,1317.3048,879.39,527.4,3186.45,11651.6762351667,13448.8426278667,43135
